City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
100,Miracema Do Tocantins,-9.5618,-48.3967,22.329999999999984,91,100,0.89,BR,1674034522
101,San Patricio,28.017,-97.5169,22.19999999999999,89,100,5.85,US,1674034523
102,Bluff,-46.6,168.3333,14.45999999999998,86,35,2.7,NZ,1674034524
103,Avera,33.194,-82.5271,13.879999999999995,96,100,2.05,US,1674034525
104,Barrow,71.2906,-156.7887,-21.840000000000003,77,100,8.75,US,1674034526
105,Maturin,9.75,-63.1767,21.060000000000002,100,19,2.06,VE,1674034526
106,Codrington,-38.2667,141.9667,13.699999999999989,59,100,7.29,AU,1674034527
107,Lewiston,44.1003,-70.2148,1.339999999999975,94,95,1.09,US,1674034528
108,Chokurdakh,70.6333,147.9167,-38.81,100,54,0.97,RU,1674034529
109,Ostrovnoy,68.0531,39.5131,-3.5600000000000023,88,75,7.6,RU,1674034530
110,Kloulklubed,7.0419,134.2556,27.430000000000007,76,79,5.45,PW,1674034530
111,La Asuncion,11.0333,-63.8628,25.0,94,51,4.12,VE,1674034531
112,El Monte,34.0686,-118.0276,10.829999999999984,72,0,1.61,US,1674034532
113,Butaritari,3.0707,172.7902,27.720000000000027,76,34,8.35,KI,1674034533
114,San Lorenzo,-25.3333,-57.5333,23.810000000000002,94,0,0.0,PY,1674034533
115,Yulara,-25.2406,130.9889,32.20999999999998,34,98,6.53,AU,1674034535
116,Hobart,-42.8794,147.3294,16.069999999999993,58,20,8.23,AU,1674034335
117,Ladario,-19.0047,-57.6017,23.100000000000023,90,100,1.01,BR,1674034537
118,Upernavik,72.7868,-56.1549,-23.47,93,100,2.38,GL,1674034537
119,Tautira,-17.7333,-149.15,26.589999999999975,77,10,5.37,PF,1674034538
120,Hofn,64.2539,-15.2082,-3.839999999999975,58,20,9.26,IS,1674034539
121,Muslyumovo,55.3033,53.1947,-9.54000000000002,85,43,2.07,RU,1674034540
122,Auki,-8.7676,160.7034,25.110000000000014,91,100,1.88,SB,1674034540
123,Sola,-13.8833,167.55,27.50999999999999,80,100,12.92,VU,1674034541
